command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.438,-0.028,-0.012,0.062,0.028,0.012,0.335,0.347,6.22,-6.275,2.74,0.006053,0.012105,0.5319,0.364,0.7626,-3.515,0.027,3.5151036969056833,-0.095,0.0,-0.095,0,1600,0.0,0,0,1600,0.0,0,new14900,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14900,2,10.0,2.0,True,True,True,-7.36,-7.95,-6.61,-3.18,True,True,True,True,True,True,True,True,True,True,,,0.72,0.67,0.54,0.63,57,38,35,31,True,True,,,
0.0,0.3,0.0,0.0,0.3,0.0,0.023,0.245,-0.022,0.023,0.055,0.022,0.347,0.358,6.36,-6.615,7.38,0.003677,0.007353,0.2595,0.2551,0.5686,0.418,1.919,1.9639971995906715,-0.178,0.0,-0.178,0,1600,0.0,0,0,1600,0.0,0,new14900,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14900,3,10.0,2.0,False,True,False,-6.19,-10.39,-7.61,-2.27,True,True,True,True,True,True,False,True,True,True,,,0.71,0.77,0.67,0.54,46,20,22,22,,True,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.033,-0.289,0.024,0.033,0.011,0.024,0.35,0.363,6.78,-7.285,8.33,0.003854,0.007708,0.3182,0.3548,0.9123,0.587,-2.246,2.3214402856847296,0.19,0.0,0.19,0,1600,0.0,0,0,1600,0.0,0,new14900,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14900,4,10.0,2.0,False,True,False,-8.53,-10.82,-5.25,-4.54,True,True,True,True,True,True,False,True,True,True,,,0.68,0.63,0.59,0.6,26,26,30,26,,True,True,,
0.0,0.0,0.5,0.0,0.0,0.5,0.013,-0.007,0.442,0.013,0.007,0.058,0.339,0.35,6.71,-5.85,17.9,0.001604,0.003207,0.0646,0.0438,0.3571,-0.017,0.078,0.07983107164506813,3.535,3.998,-0.463,0,1600,0.0,0,0,1600,0.0,0,new14900,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14900,5,10.0,2.0,False,True,False,-3.28,-13.67,-10.55,4.1,True,True,True,True,True,True,True,True,True,True,,,0.87,0.93,0.69,0.86,29,34,86,44,,True,,True,False
0.0,0.0,-0.5,0.0,0.0,-0.5,0.011,-0.012,-0.375,0.011,0.012,0.125,0.346,0.356,6.59,-9.3325,5.27,0.001719,0.003439,0.0633,0.0389,0.3298,-0.076,-0.045,0.08832326986700617,-3.001,-3.998,0.997,0,1600,0.0,0,0,1600,0.0,0,new14900,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14900,6,10.0,2.0,False,True,False,-16.84,-5.76,-3.68,-11.05,True,True,False,True,True,True,False,True,True,True,,,0.92,0.82,0.7,0.91,49,38,58,50,,True,,True,False
0.5,0.2,0.4,0.5,0.2,0.4,0.507,0.131,0.415,0.007,0.069,0.015,0.358,0.371,5.02,-7.7250000000000005,2.59,0.008976,0.017952,0.6424,0.4969,1.2267,-2.259,1.249,2.581294636417935,3.316,3.198,0.118,0,1600,0.0,0,0,1600,0.0,0,new14900,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14900,7,10.0,2.0,False,True,False,-11.1,-6.47,-6.96,-6.37,True,True,True,True,True,True,False,True,True,True,,,0.74,0.45,0.53,0.59,35,33,53,29,,True,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.453,-0.203,-0.366,0.047,0.003,0.034,0.337,0.349,6.95,-6.7425,3.32,0.007075,0.01415,0.5782,0.4626,0.8755,0.541,2.625,2.680169024520655,-2.925,-3.198,0.273,0,1600,0.0,0,0,1600,0.0,0,new14900,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14900,8,10.0,2.0,False,True,False,-9.14,-7.97,-6.33,-3.53,True,True,True,True,True,True,False,True,True,True,,,0.65,0.65,0.56,0.64,44,48,38,32,,True,,,
0.0,0.0,0.0,0.0,0.0,0.0,-0.002,-0.0,0.011,0.002,0.0,0.011,0.341,0.342,4.17,-3.5575,3.18,0.000408,0.000816,0.0058,0.0,0.0,-0.012,-0.003,0.012369316876852983,0.085,0.0,0.085,0,1600,0.0,0,0,1600,0.0,0,new14999,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14999,0,10.0,2.0,False,True,False,2.76,-3.05,-10.44,-3.5,True,True,True,True,True,True,True,True,True,True,False,False,1.0,1.0,1.0,1.0,0,0,0,0,,,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.494,-0.018,0.065,0.006,0.018,0.065,0.365,0.376,2.42,-8.5725,-0.96,0.007815,0.01563,0.5884,0.4969,1.3281,3.748,1.124,3.9129119591424493,0.521,0.0,0.521,0,1600,0.0,0,0,1600,0.0,0,new14999,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14999,1,10.0,2.0,False,True,False,-8.99,-4.91,-11.89,-8.5,True,True,True,True,True,True,False,True,True,True,,,0.76,0.64,0.57,0.58,32,47,32,30,False,True,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.458,-0.032,0.005,0.042,0.032,0.005,0.338,0.346,5.46,-6.535,2.16,0.005531,0.011061,0.5517,0.3376,1.0377,-3.656,-0.415,3.6794783597678626,0.041,0.0,0.041,0,1600,0.0,0,0,1600,0.0,0,new14999,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14999,2,10.0,2.0,True,True,True,-8.09,-8.19,-6.28,-3.58,True,True,True,True,True,True,True,True,True,True,,,0.69,0.7,0.61,0.63,33,46,41,39,True,True,,,
0.0,0.3,0.0,0.0,0.3,0.0,0.025,0.256,-0.0,0.025,0.044,0.0,0.349,0.359,6.3,-7.065,7.37,0.003397,0.006795,0.2697,0.1946,0.6374,0.255,2.037,2.0528989259094077,-0.004,0.0,-0.004,0,1600,0.0,0,0,1600,0.0,0,new14999,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14999,3,10.0,2.0,False,True,False,-7.44,-10.47,-7.75,-2.6,True,True,True,True,True,True,False,True,True,True,,,0.63,0.8,0.72,0.54,54,28,26,24,,True,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.037,-0.269,0.056,0.037,0.031,0.056,0.352,0.36,5.5,-6.922499999999999,6.27,0.004005,0.00801,0.2929,0.2421,0.7032,0.961,-1.926,2.1524397784839415,0.451,0.0,0.451,0,1600,0.0,0,0,1600,0.0,0,new14999,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14999,4,10.0,2.0,False,True,False,-9.1,-6.62,-5.33,-6.64,True,True,True,True,True,True,False,True,True,True,,,0.76,0.77,0.57,0.66,25,71,32,27,,True,True,,
0.0,0.0,0.5,0.0,0.0,0.5,-0.006,-0.013,0.467,0.006,0.013,0.033,0.337,0.353,7.8,-8.389999999999999,15.13,0.001769,0.003539,0.0737,0.0374,0.3654,0.098,0.037,0.10475208828467335,3.732,3.998,-0.265,0,1600,0.0,0,0,1600,0.0,0,new14999,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14999,5,10.0,2.0,True,True,True,-1.24,-15.55,-17.54,0.77,True,True,True,True,True,True,True,True,True,True,,,0.85,0.92,0.9,0.84,30,68,128,80,,True,,True,True
0.0,0.0,-0.5,0.0,0.0,-0.5,0.014,-0.007,-0.367,0.014,0.007,0.133,0.339,0.355,6.73,-8.385,9.06,0.001678,0.003355,0.0532,0.0467,0.5518,-0.066,-0.053,0.08464632301523795,-2.931,-3.998,1.066,0,1600,0.0,0,0,1600,0.0,0,new14999,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14999,6,10.0,2.0,False,True,False,-17.83,-3.89,-1.21,-10.61,True,True,False,True,True,True,False,True,True,True,,,0.94,0.85,0.89,0.88,40,69,65,26,,True,,True,False
0.5,0.2,0.4,0.5,0.2,0.4,0.51,0.158,0.439,0.01,0.042,0.039,0.362,0.374,4.3,-8.1625,3.12,0.008094,0.016187,0.6437,0.4371,1.226,-2.341,0.707,2.445430432459693,3.51,3.198,0.312,0,1600,0.0,0,0,1600,0.0,0,new14999,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14999,7,10.0,2.0,False,True,False,-10.23,-5.26,-9.88,-7.28,True,True,True,True,True,True,False,True,True,True,,,0.74,0.49,0.59,0.57,36,43,61,28,,True,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.456,-0.209,-0.344,0.044,0.009,0.056,0.338,0.348,7.16,-7.045,4.77,0.006553,0.013105,0.5831,0.3379,0.7597,0.257,2.851,2.862560043038399,-2.754,-3.198,0.444,0,1600,0.0,0,0,1600,0.0,0,new14999,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14999,8,10.0,2.0,False,True,False,-9.32,-7.5,-6.32,-5.04,True,True,True,True,True,True,False,True,True,True,,,0.65,0.68,0.59,0.64,42,60,38,40,,True,,,
