command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.0,0.0,-0.1,0.0,0.0,-0.1,0.002,0.002,-0.036,0.002,0.002,0.064,0.297,0.302,3.25,-6.7575,3.87,0.000449,0.000898,0.01,0.0119,0.0823,0.025,0.007,0.02596150997149434,-0.291,-0.8,0.508,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,20,10.0,2.0,False,True,False,-6.4,0.84,-9.12,-12.35,True,True,True,True,True,True,False,True,True,True,,,1.0,1.0,0.9,0.99,0,0,4,12,,False,,True,False
0.0,0.0,0.25,0.0,0.0,0.25,0.031,-0.015,0.224,0.031,0.015,0.026,0.297,0.304,3.95,-9.0325,5.12,0.000907,0.001815,0.0467,0.0506,0.15,0.17,0.176,0.244695729427385,1.788,1.999,-0.211,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,21,10.0,2.0,False,True,False,-8.66,-9.89,-11.37,-6.21,True,True,True,True,True,True,False,True,True,True,,,0.94,1.0,0.54,0.74,20,0,13,22,,False,,True,True
0.0,0.0,-0.25,0.0,0.0,-0.25,-0.002,-0.01,-0.229,0.002,0.01,0.021,0.301,0.314,8.64,-11.04,10.86,0.001172,0.002345,0.043,0.0234,0.1704,-0.101,0.024,0.1038123306741545,-1.831,-1.999,0.168,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,22,10.0,2.0,True,True,True,-25.36,-1.33,-1.74,-15.73,True,True,True,True,True,True,True,True,True,True,,,0.97,0.95,0.97,0.94,66,38,76,45,,True,,True,True
0.0,0.0,0.5,0.0,0.0,0.5,0.026,0.002,0.436,0.026,0.002,0.064,0.295,0.305,5.83,-11.932500000000001,11.46,0.001869,0.003738,0.0583,0.041,0.549,-0.071,0.045,0.08405950273467003,3.488,3.998,-0.51,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,23,10.0,2.0,False,True,False,-8.26,-20.81,-17.21,-1.45,True,True,True,True,True,True,True,True,True,True,,,0.92,0.98,0.8,0.88,94,48,36,76,,True,,True,False
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.0,-0.034,-0.477,0.0,0.034,0.023,0.306,0.319,4.89,-11.415000000000001,4.0,0.002137,0.004274,0.0621,0.0539,0.465,-0.039,0.128,0.13380956617521783,-3.815,-3.998,0.183,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,24,10.0,2.0,True,True,True,-24.29,-5.22,-2.52,-13.63,True,True,True,True,True,True,True,True,True,True,,,0.94,0.85,0.95,0.89,94,38,114,26,,True,,True,True
0.0,0.0,1.0,0.0,0.0,1.0,0.018,0.019,0.946,0.018,0.019,0.054,0.303,0.31,8.43,-11.975,13.39,0.003669,0.007339,0.0771,0.064,0.6441,0.017,0.014,0.022022715545545243,7.562,7.995,-0.433,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,25,10.0,2.0,False,True,False,-8.36,-22.05,-17.52,0.03,True,True,True,True,True,True,True,True,True,True,,,0.89,0.96,0.68,0.8,178,64,42,91,,True,,True,False
0.0,0.0,-1.0,0.0,0.0,-1.0,-0.002,-0.059,-0.983,0.002,0.059,0.017,0.31,0.324,4.28,-11.2125,6.87,0.003879,0.007759,0.0907,0.063,0.6049,0.029,0.064,0.07026378868236469,-7.857,-7.995,0.138,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,26,10.0,2.0,True,True,True,-21.02,-4.89,-3.04,-15.9,True,True,True,True,True,True,True,True,True,True,,,0.89,0.82,0.86,0.83,106,96,176,56,,True,,True,True
0.0,0.0,2.0,0.0,0.0,2.0,0.054,0.123,1.968,0.054,0.123,0.032,0.218,0.311,26.63,-8.9925,25.31,0.019214,0.038428,0.2572,0.13,3.8925,0.143,0.125,0.1899315666233499,15.737,15.99,-0.253,0,1600,0.0,0,7,1600,0.00625,2,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,27,10.0,2.0,False,True,False,-4.97,-20.18,-15.91,5.09,True,False,True,False,False,True,True,True,True,False,,,0.81,0.92,0.5,0.69,230,98,120,183,,True,,True,True
0.0,0.0,-2.0,0.0,0.0,-2.0,0.07,-0.099,-1.954,0.07,0.099,0.046,0.145,0.327,29.68,-7.657499999999999,48.16,0.015857,0.031715,0.2404,0.1787,2.962,-0.063,0.02,0.06609841147864297,-15.619,-15.99,0.371,0,1600,0.0,0,1,1600,0.000625,1,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,28,10.0,2.0,False,True,False,-13.36,-3.33,-0.58,-13.36,True,False,True,False,False,False,True,True,True,False,,,0.77,0.76,0.77,0.59,80,191,127,72,,True,,True,True
0.8,0.2,0.5,0.8,0.2,0.5,0.795,0.166,0.485,0.005,0.034,0.015,0.327,0.33,2.82,-7.960000000000001,9.02,0.022052,0.044105,0.9141,0.9982,1.6602,-3.113,0.095,3.1144492289969987,3.878,3.998,-0.119,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,29,10.0,2.0,True,True,True,-10.75,-4.53,-8.17,-8.39,True,True,True,True,True,True,True,True,True,True,,,0.6,0.55,0.54,0.55,37,37,39,35,,True,,,
